Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor_Bruto;Tipo Agregado
Apartamento;Leblon;3;0;1;85;8500.0;;1719.0;;Apartamento
Apartamento;Tijuca;3;1;0;129;1800.0;850.0;116.0;2650.0;Apartamento
Apartamento;Barra da Tijuca;4;3;3;160;8600.0;2300.0;250.0;10900.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;93;1400.0;1300.0;;2700.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;1;93;1800.0;650.0;95.0;2450.0;Apartamento
Apartamento;Barra da Tijuca;1;1;1;60;2200.0;1600.0;350.0;3800.0;Apartamento
Apartamento;Taquara;2;2;0;55;790.0;350.0;;1140.0;Apartamento
Apartamento;Copacabana;2;0;0;54;1800.0;590.0;;2390.0;Apartamento
Apartamento;Catete;2;1;1;70;3300.0;1365.0;180.0;4665.0;Apartamento
Apartamento;Copacabana;5;1;3;390;10000.0;1000.0;1000.0;11000.0;Apartamento
Apartamento;Maracanã;2;1;0;53;1300.0;492.0;16.0;1792.0;Apartamento
Apartamento;Tomás Coelho;2;0;0;70;800.0;;;;Apartamento
Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0;1293.0;Apartamento
Apartamento;Tijuca;3;1;0;164;3500.0;1310.0;257.0;4810.0;Apartamento
Apartamento;Jacarepaguá;2;1;1;60;1200.0;524.0;13.0;1724.0;Apartamento
Apartamento;Água Santa;2;1;0;50;850.0;280.0;12.0;1130.0;Apartamento
Apartamento;Botafogo;2;1;1;79;4315.0;1110.0;187.0;5425.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1600.0;615.0;3.0;2215.0;Apartamento
Apartamento;Tijuca;1;0;0;36;1300.0;295.0;24.0;1595.0;Apartamento
Apartamento;Jardim Oceânico;4;4;3;190;5700.0;1069.0;808.0;6769.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;0;84;1500.0;900.0;;2400.0;Apartamento
Apartamento;São Cristóvão;2;0;0;50;1000.0;600.0;;1600.0;Apartamento
Apartamento;Ilha do Governador;3;1;0;83;1500.0;440.0;132.0;1940.0;Apartamento
Apartamento;Olaria;2;0;0;90;1000.0;150.0;;1150.0;Apartamento
Apartamento;Humaitá;1;0;0;57;3990.0;860.0;100.0;4850.0;Apartamento
Apartamento;Maracanã;3;1;0;95;2500.0;600.0;80.0;3100.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;63;1900.0;824.0;;2724.0;Apartamento
Apartamento;Gávea;2;1;1;100;3900.0;1300.0;320.0;5200.0;Apartamento
